Camada,Objeto,Tipos de Interatividade,Descrição da Interatividade
floor,Piso secundário de areia,"Interatividade Exploratória (VR), Feedback Multissensorial (VR)","O piso de areia influencia a experiência de locomoção, podendo apresentar sons específicos e alterações visuais que simulam o caminhar sobre um material irregular."
floor,Piso de área externa de água,"Interatividade Exploratória (VR), Feedback Multissensorial (VR)","A área com água permite a exploração visual do ambiente externo, fornecendo feedback sonoro e visual que simula a presença de um meio líquido."
floor,Piso principal de madeira,"Interatividade Exploratória (VR), Feedback Multissensorial (VR)","O piso de madeira permite a locomoção do usuário pelo ambiente virtual, oferecendo feedback visual e sonoro que reforça a textura e o material durante a exploração do espaço."
walls,Parede externa de vidro,"Interatividade Exploratória (VR), Feedback Multissensorial (VR), Interatividade Preditiva (Feedforward)","A parede de vidro permite a observação do ambiente externo, utilizando transparência e realces visuais para indicar limites físicos e possíveis interações."
walls,Parede interna de tijolo,"Interatividade Exploratória (VR), Feedback Multissensorial (VR)","A parede de tijolo atua como limite físico do ambiente virtual, contribuindo para a orientação espacial e oferecendo feedback visual que reforça sua materialidade."
door_and_windows,Janela,"Manipulação Direta (VR), Interatividade Exploratória (VR), Interatividade Preditiva (Feedforward)","A janela pode ser manipulada diretamente, permitindo abertura ou fechamento, além de possibilitar a observação de áreas externas do ambiente virtual."
door_and_windows,Porta fechada,"Manipulação Direta (VR), Interatividade Exploratória (VR), Interatividade Preditiva (Feedforward)","A porta fechada permite interação direta para abertura, com indicações visuais que antecipam a ação e possibilitam a exploração de novos ambientes."
door_and_windows,Porta aberta,Interatividade Exploratória (VR),"A porta aberta permite a circulação livre do usuário entre ambientes, favorecendo a exploração espacial sem necessidade de manipulação direta."
furniture,Fogão,"Manipulação Direta (VR), Feedback Multissensorial (VR), Gamificação (VR)","O fogão permite interação direta para simular seu uso, apresentando feedback visual e sonoro, podendo integrar atividades gamificadas no ambiente."
furniture,Fogão,"Manipulação Direta (VR), Feedback Multissensorial (VR), Gamificação (VR)",Elemento funcional que reforça a simulação de atividades domésticas por meio de interação direta e feedbacks multissensoriais.
furniture,Armário,"Manipulação Direta (VR), Interatividade Preditiva (Feedforward)","Elemento de armazenamento que permite interação direta, reforçando a organização funcional do ambiente virtual."
furniture,Mesa de jantar com cadeiras,"Manipulação Direta (VR), Feedback Multissensorial (VR), Interatividade Preditiva (Feedforward)","A mesa de jantar e as cadeiras permitem interação direta, como aproximação e reposicionamento, com feedback visual e sonoro que indica possíveis ações."
furniture,Armário,"Manipulação Direta (VR), Interatividade Preditiva (Feedforward)","O armário pode ser aberto ou fechado por manipulação direta, com indicações visuais que antecipam a possibilidade de interação."
furniture,Cama de casal,"Manipulação Direta (VR), Feedback Multissensorial (VR)",A cama permite interação direta e reforça a percepção de conforto do ambiente por meio de feedback visual e sonoro.
furniture,Cama de casal,"Manipulação Direta (VR), Feedback Multissensorial (VR)","Elemento de repouso que contribui para a ambientação do espaço, permitindo interação direta no contexto virtual."
furniture,Mesa de jantar com cadeiras,"Manipulação Direta (VR), Feedback Multissensorial (VR), Interatividade Preditiva (Feedforward)",Conjunto de mesa e cadeiras que possibilita manipulação direta e reforço da funcionalidade do espaço por meio de feedbacks visuais.
eletronics,Geladeira,"Manipulação Direta (VR), Feedback Multissensorial (VR)","A geladeira permite interação direta para abertura e fechamento, apresentando feedback visual e sonoro que simula seu funcionamento."
eletronics,Lavatório,"Manipulação Direta (VR), Feedback Multissensorial (VR)","O lavatório permite interação direta, com animações e sons que simulam o uso, reforçando a funcionalidade do ambiente."
eletronics,Geladeira,"Manipulação Direta (VR), Feedback Multissensorial (VR)",Elemento funcional que reforça a simulação de um ambiente doméstico por meio de feedbacks multissensoriais.
utensils,Vaso de planta,"Manipulação Direta (VR), Feedback Multissensorial (VR), Interatividade Exploratória (VR)","O vaso de planta pode ser observado, tocado ou reposicionado durante a exploração do ambiente, reforçando a ambientação por meio de feedback visual."
persons,Posição inicial do personagem,Interatividade Corporal / Gestual (VR),"Define a posição inicial do avatar do usuário no ambiente virtual, permitindo movimentação corporal e exploração do espaço."
